"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2060","Registration with correct email, username and password","Authentication","2026-09-14","passed","2026-09-14","critical","Registration","",""
"","2257","Check displaying of dashboard page","LMS system","2026-09-14","passed","2026-09-14","Dashboard","Dashboard","",""
"","1909","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentication","",""
"","1594","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentication","",""
"","4493","User login with correct email and password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentication","",""
"","3879","User login with correct email and password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentication","",""
"","1453","Navigation from login page to registration page","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentication","",""
"","5363","Create course","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","7571","Edit course","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","4549","User login with correct email and password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentication","",""
"","1821","Check displaying of empty courses list","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","1948","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentication","",""
